DATE,SLRTTO01FIQ661N
1960-01-01,19.8938032294429
1960-04-01,24.188338529767
1960-07-01,23.114704704686
1960-10-01,27.2829301432359
1961-01-01,21.5989863633951
1961-04-01,26.4619160417034
1961-07-01,25.9566765946064
1961-10-01,30.5038316184791
1962-01-01,23.619944151783
1962-04-01,28.7986484845268
1962-07-01,26.8408456270261
1962-10-01,32.3353246142055
1963-01-01,23.5567892208958
1963-04-01,29.5565076551723
1963-07-01,27.2829301432359
1963-10-01,34.0405077481578
1964-01-01,22.8991272459862
1964-04-01,29.4695759147434
1964-07-01,26.2957151171234
1964-10-01,32.7408798070271
1965-01-01,25.4883294756236
1965-04-01,32.3371869862772
1965-07-01,28.147133915735
1965-10-01,34.8428665633456
1966-01-01,26.6576466115888
1966-04-01,33.1167317435874
1966-07-01,29.2886101675106
1966-10-01,36.3741151937763
1967-01-01,27.2979869479507
1967-04-01,33.5065041222424
1967-07-01,29.580939451502
1967-10-01,37.7940002874484
1968-01-01,27.9661681685023
1968-04-01,33.3533792591994
1968-07-01,30.5414499560448
1968-10-01,37.5295118876467
1969-01-01,29.0130494160657
1969-04-01,34.4630144997466
1969-07-01,36.0659454067116
1969-10-01,39.9129795834275
1970-01-01,30.4556872323342
1970-04-01,37.187997041587
1970-07-01,38.6306348578555
1970-10-01,42.3173759438749
1971-01-01,33.6615490462641
1971-04-01,41.5159104903924
1971-07-01,34.9438937718361
1971-10-01,40.8747381276064
1972-01-01,36.7071177694975
1972-04-01,42.6379621252679
1972-07-01,39.9129795834274
1972-10-01,49.5305650252172
1973-01-01,40.0732726741239
1973-04-01,44.5614792136258
1973-07-01,43.5997206694468
1973-10-01,51.1334959321822
1974-01-01,39.2718072206415
1974-04-01,45.8438239391978
1974-07-01,44.0805999415364
1974-10-01,53.2173061112366
1975-01-01,42.7982552159644
1975-04-01,47.2864617554663
1975-07-01,44.7217723043223
1975-10-01,49.8511512066102
1976-01-01,40.8747381276064
1976-04-01,48.4085133903417
1976-07-01,44.2408930322328
1976-10-01,49.6908581159137
1977-01-01,38.6306348578555
1977-04-01,45.3629446671083
1977-07-01,42.4776690345714
1977-10-01,46.0041170298943
1978-01-01,39.432100311338
1978-04-01,46.0041170298943
1978-07-01,42.7982552159644
1978-10-01,48.5688064810382
1979-01-01,41.1953243089994
1979-04-01,49.3702719345207
1979-07-01,46.0041170298943
1979-10-01,51.7746682949681
1980-01-01,42.9585483066609
1980-04-01,49.6908581159137
1980-07-01,46.6452893926803
1980-10-01,53.0570130205401
1981-01-01,43.5997206694469
1981-04-01,52.0952544763611
1981-07-01,47.7673410275557
1981-10-01,52.8967199298436
1982-01-01,45.2026515764118
1982-04-01,52.2555475670576
1982-07-01,50.1717373880032
1982-10-01,58.0260988321315
1983-01-01,47.9276341182522
1983-04-01,54.3393577461121
1983-07-01,49.3702719345207
1983-10-01,55.4614093809876
1984-01-01,47.7673410275557
1984-04-01,54.8202370182016
1984-07-01,52.0952544763611
1984-10-01,58.186391922828
1985-01-01,47.3111246915922
1985-04-01,55.4523247196908
1985-07-01,55.9789791689479
1985-10-01,61.1796918553613
1986-01-01,48.7813683624348
1986-04-01,56.5714654243621
1986-07-01,57.6686621936476
1986-10-01,62.2330007538754
1987-01-01,50.4929953225202
1987-04-01,58.8975225752474
1987-07-01,59.533896701433
1987-10-01,66.1390212525319
1988-01-01,52.6654449257056
1988-04-01,61.7282902400041
1988-07-01,62.6718794615896
1988-10-01,67.8945360833888
1989-01-01,55.4742686550765
1989-04-01,64.1201791970465
1989-07-01,65.1076562894035
1989-10-01,69.7378266557884
1990-01-01,55.2767732366051
1990-04-01,63.4179732647038
1990-07-01,63.4399172000895
1990-10-01,67.0606665387318
1991-01-01,53.6529220180626
1991-04-01,60.67498134149
1991-07-01,60.8285888891899
1991-10-01,63.0668702985324
1992-01-01,49.8785651317203
1992-04-01,54.223464338091
1992-07-01,53.3018190518912
1992-10-01,56.3739700058907
1993-01-01,46.9380777900351
1993-04-01,51.5024163502629
1993-07-01,50.6246589348345
1993-10-01,54.2673522088624
1994-01-01,46.4772551469352
1994-04-01,51.7657435748914
1994-07-01,51.0196497717773
1994-10-01,55.4084368489194
1995-01-01,47.4412402067011
1995-04-01,54.3090515085848
1995-07-01,53.7756292715453
1995-10-01,58.0763460576763
1996-01-01,48.3413902317053
1996-04-01,55.5759293215536
1996-07-01,56.5094182363727
1996-10-01,62.3103850641774
1997-01-01,50.4750791798633
1997-04-01,59.3765627604601
1997-07-01,59.6432738789798
1997-10-01,64.4440740123354
1998-01-01,53.6089348224704
1998-04-01,63.0438406401067
1998-07-01,64.9441573595599
1998-10-01,70.6451075179196
1999-01-01,57.0095015835973
1999-04-01,66.8778129688281
1999-07-01,68.8448074679113
1999-10-01,73.8123020503418
2000-01-01,60.6434405734289
2000-04-01,70.6451075179196
2000-07-01,72.5454242373729
2000-10-01,76.8461410235039
2001-01-01,64.5107517919653
2001-04-01,74.4457409568261
2001-07-01,75.8793132188698
2001-10-01,81.3802300383397
2002-01-01,65.910985164194
2002-04-01,78.0463410568428
2002-07-01,79.0465077512919
2002-10-01,83.9139856642774
2003-01-01,69.211535255876
2003-04-01,81.0135022503751
2003-07-01,83.1805300883481
2003-10-01,88.1813635605934
2004-01-01,73.8456409401567
2004-04-01,85.0808468078013
2004-07-01,86.8144690781797
2004-10-01,92.1820303383897
2005-01-01,75.9459909984998
2005-04-01,89.748291381897
2005-07-01,91.5819303217203
2005-10-01,96.7161193532255
2006-01-01,80.1133522253709
2006-04-01,93.6156026004334
